Judul,Harga,Lokasi,Link
Apartemen Dijual di Serpong,Rp 700Jt,"Cadasmampar, Serpong, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-luxury-vasaka-nines-bsd-city-tangerang-174877200078/
Apartemen Dijual di Jati Padang,Rp 525Jt,"RW 05, Jati Padang, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-gardenia-boulevard-jakarta-selatan-173782558542/
Apartemen Dijual di Dukuh Pakis,Rp 425Jt,"Bukit Darmo, RW 01, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-3e6d5194e2de-88b1-19d8577-9658-77b4
Kondominium Dijual di Mlatibaru,"Rp 6,50M","RW 05, Mlatibaru, Semarang Timur, Kota Semarang, Jawa Tengah",https://www.lamudi.co.id/jual/jawa-tengah/semarang/dijual-ruang-usaha-strategis-widoharjo-semarang-173268008941/
Apartemen Dijual di Kelapa Gading,"Rp 1,62M","RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-441ea6ec2728-99c6-19f13a8-8258-71a2
Apartemen Dijual di Kesawan,"Rp 2,30M","Kesawan, Medan Barat, Kota Medan, Sumatera Utara",https://www.lamudi.co.id/properti/41032-73-6bcb96f171a1-dc95-19e1c35-ba28-787a
Apartemen Dijual di Kayu Putih,"Rp 4,50M","RW 02, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d60a57797f14-ec8d-19eda75-b254-72d7
Apartemen Dijual di Cilandak,"Rp 1,20M","RW 09, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-cf77937716ca-34ad-19f1b0a-ac06-751e
Apartemen Dijual di Dukuh Sutorejo,Rp 410Jt,"RW 04, Dukuh Sutorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-f9b03c75ee89-41fc-19c1e85-bf6f-7568
Apartemen Dijual di Bintaro,"Rp 1,80M","RW 03, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-lexington-residences-jual-murah-harga-ne-175402063192/
Apartemen Dijual di Kelapa Indah,Rp 285Jt,"Kota Ayodhya, Kelapa Indah, Tangerang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-2fb1e078bac4-fd7d-19e1aa6-9127-7662
Apartemen Dijual di Kebayoran Baru,Rp 35M,"SCBD, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-fb5f2f97a3bf-2395-19cf4fc-96af-74fb
Apartemen Dijual di Bekasi Utara,Rp 430Jt,"Rawa Bugel, Perwira, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-671cd7d5842d-3e1a-19e3e9f-8b9c-72f5
Apartemen Dijual di Curug Sangereng,Rp 380Jt,"Summarecon Serpong, Curug Sangereng, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-413ae8f686d7-b03f-19e629b-a0ce-7689
Apartemen Dijual di Bekasi Utara,Rp 280Jt,"Summarecon Bekasi, Rawa Bugel, Perwira, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-dbb5cc888f5f-2eb-19dd7b9-bedb-7364
Apartemen Dijual di Gading Serpong,Rp 750Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/dijual-apartemen-mtown-residence-gading-serpong-ti-175586527512/
Apartemen Dijual di Kelapa Gading,Rp 875Jt,"RW 19, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-4cfba690f88b-d228-19c663b-b236-73dc
Apartemen Dijual di Cilandak,Rp 550Jt,"RW 02, Cipete Selatan, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5a288467a6d1-1177-19dfbbf-a7ad-76a8
Apartemen Dijual di Pasar Rebo,Rp 380Jt,"RW 07, Pekayon, Pasar Rebo, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-apartemen-siap-huni-siap-sewa-di-jakarta-ci-172748878940/
Apartemen Dijual di Cilandak,Rp 990Jt,"RW 09, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c9e07632bf2c-40ef-19edc9a-9561-76a7
Apartemen Dijual di Pademangan,"Rp 1,78M","PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9864cbd32bf2-4243-19edfb4-a11b-7837
Apartemen Dijual di Karanganyar,Rp 330Jt,"Surakarta, Karanganyar, Jawa Tengah",https://www.lamudi.co.id/properti/41032-73-37cf1d1ad148-c9ba-19dd1f9-ae01-7af8
Apartemen Dijual di Kebayoran Baru,Rp 50M,"SCBD, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-1ccea6e8bea0-82d7-19a8065-b092-7407
Apartemen Dijual di Kuningan,"Rp 3,70M","RW 01, Kuningan Timur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-mewah-oakwood-mega-kuningan-1-br-96m2-fu-175429126065/
Apartemen Dijual di Jatinangor,Rp 315Jt,"Jatinangor, Sumedang, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-fc2360f5c8f1-7b56-19d814f-8c13-7e64
Apartemen Dijual di Kelapa Gading,Rp 975Jt,"RW 13, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ca31a4dc2106-68fa-19da6b4-bf07-757e
Apartemen Dijual di Cempaka Putih,"Rp 2,18M","RW 07, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/dijual-apartment-holland-village-jakarta-2br-3br-j-174766997579/
Apartemen Dijual di Cibitung,Rp 410Jt,"MM2100 Industrial Town, Gandamekar, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-a01d618b7ba9-debd-19d8788-a21f-72ce
Apartemen Dijual di Grogol Petamburan,"Rp 1,60M","RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-4fb50433abeb-ccbb-19f1bf5-989c-74f5
Apartemen Dijual di Gading Serpong,Rp 700Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b87d129fdad-486a-199a888-9cfa-73d1
Apartemen Dijual di Pancoran Mas,Rp 69M,"Rangkapan Jaya, Pancoran Mas, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-ebf122142570-f57b-19ef01a-930d-74e8
Apartemen Dijual di Kelapa Dua,Rp 850Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-5e61736578c3-4abb-19c6604-82b4-783f
Apartemen Dijual di Bumi Serpong Damai,Rp 145Jt,"BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-e61ab96c2b26-840f-19f1265-83b6-72f7
Apartemen Dijual di Sleman,"Rp 1,05M","Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/properti/41032-73-3fb326980f5b-5af7-19cd0cc-afde-790a
Apartemen Dijual di Cilandak,"Rp 1,90M","RW 09, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-8276d1321396-5bfe-19dc711-99cc-74a9
Apartemen Dijual di Beji,Rp 400Jt,"Kukusan, Beji, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-a34be980a71e-fedf-19e1d51-bcd7-7823
Apartemen Dijual di Kebon Melati,Mencari,"RW 09, Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-91fc2f756653-8a65-19d7107-93a8-77c9
Apartemen Dijual di Buahbatu,Rp 280Jt,"Margasari, Buahbatu, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-5d56ada49dc1-85ac-19cf5db-a47a-733c
Apartemen Dijual di Beji,Rp 350Jt,"Kukusan, Beji, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-df6199fe9c23-6936-19e1d5d-8d3a-7320
Apartemen Dijual di Alam Sutera,Rp 800Jt,"Alam Sutera, Pinang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-eb1210503e65-752c-19e7dc8-a309-7324
Apartemen Dijual di Cilandak,Rp 980Jt,"RW 04, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-cantik-2-bedroom-fully-furnished-the-asp-174556830831/
Apartemen Dijual di Kamal Muara,Rp 350Jt,"RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-apartment-teluk-intan-lantai-rendah-lt-2-171747164982/
Apartemen Dijual di Kebayoran Baru,"Rp 4,60M","RW 10, Kramat Pela, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-6e8cab4f1b62-e429-19c7172-9284-72e3
Apartemen Dijual di Kelapa Indah,Rp 380Jt,"Kumatex, Kelapa Indah, Tangerang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-a9bab5099c9d-b480-19e8263-a43a-7800
Apartemen Dijual di Kebayoran Lama,Rp 3M,"RW 05, Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-1d6669d0727e-7410-19d7165-8064-7dea
Apartemen Dijual di Cipulir,Rp 17M,"RW 11, Cipulir, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f1afffb7337-5b32-19bdf9c-9373-7453
Apartemen Dijual di Bangka,"Rp 3,80M","RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartment-kemang-village-residence-tower-ri-175775728734/
Apartemen Dijual di Jatinegara,Rp 480Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-1a0517f3670-7b5d-19c238c-ad1d-72ac
Apartemen Dijual di Grogol Petamburan,"Rp 1,10M","RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-35640618e5ed-6553-19e6dd8-958a-7776
Apartemen Dijual di Lontar,Rp 625Jt,"Pakuwon Indah, RW 16, Lontar, Sambikerep, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-df0cb9195d79-5969-19e7d2a-85a7-7704
Apartemen Dijual di Gading Serpong,Rp 625Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-da04c19cfba6-a84c-19e52c2-99a3-7217
Apartemen Dijual di Pondok Aren,Rp 425Jt,"Pondok Pucung, Pondok Aren, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang/dijual-super-murah-apartemen-embarcadero-1-bedroom-174508712865/
Apartemen Dijual di Darmo Permai,Rp 750Jt,"RW 01, Darmo, Wonokromo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-b3abb68a9ab7-b39a-b7e61277-b070-43c3
Apartemen Dijual di Tebet,Rp 950Jt,"RW 05, Tebet Barat, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartement-bellevue-jl-mt-haryono-jakarta-p-175765706328/
Apartemen Dijual di Batam Kota,"Rp 1,30M","Teluk Tering, Teluk Tering, Batam Kota, Batam",https://www.lamudi.co.id/properti/41032-73-5ab1187ea85c-a9d8-19efd24-90e5-74b4
Apartemen Dijual di Cempaka Putih,Rp 350Jt,"RW 02, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-141266c18093-2f7d-19f133f-a3de-7524
Apartemen Dijual di Karet Kuningan,Rp 27M,"RW 04, Karet Kuningan, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-mewah-raffles-residence-4br-kuningan-171377534212/
Apartemen Dijual di Sunter,Rp 168Jt,"RW 18, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-48134207d6d-5259-19f1b99-9018-73dc
Apartemen Dijual di Pancoran,Rp 365Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-49394348fed-c882-19f1260-92e4-70e2
Apartemen Dijual di Serpong Utara,Rp 950Jt,"Pakualam, Serpong Utara, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-8691b64e7160-a765-b9899bbf-9b5f-4ada
Apartemen Dijual di Pancoran,Rp 320Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9d2dfeed2321-f8b6-19f1337-b2ad-7163
Apartemen Dijual di Grogol Petamburan,Rp 925Jt,"RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/hot-item-jual-1br-view-pool-taman-anggrek-residenc-174858748036/
Apartemen Dijual di Sawahan,Rp 550Jt,"RW 08, Putat Jaya, Sawahan, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-443f61bd5e61-3135-43c97732-8a12-4bc3
Apartemen Dijual di Cakung,Rp 550Jt,"RW 05, Rawa Terate, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-fe842a41c3c3-c624-19d7247-9e06-7442
Apartemen Dijual di Pantai Indah Kapuk 2,Rp 775Jt,"Muara, Pantai Indah Kapuk 2, Muara, Teluknaga, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-21cc5b8567ee-415e-19df2dc-9aef-7664
Apartemen Dijual di Babatan,Rp 1M,"Pakuwon Indah, Kawasan Superblock Pakuwon, Babatan, Wiyung, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-4cc8392bd2e4-472-19bbacf-a2b5-72ae
Apartemen Dijual di Kesawan,"Rp 1,05M","Kesawan, Medan Barat, Kota Medan, Sumatera Utara",https://www.lamudi.co.id/properti/41032-73-e0a431604c28-ee4d-19e1b95-c021-785c
Apartemen Dijual di Sunter,Rp 865Jt,"RW 16, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-b01efa38c90f-96fa-19eb4ef-aa17-72bb
Apartemen Dijual di Bangka,Rp 999Jt,"RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-920c7bcc3058-f1d8-19ed99e-b936-77f2
Apartemen Dijual di Bumi Serpong Damai,Rp 310Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-1705b638588-a8c7-19dbe82-ae7f-7243
Apartemen Dijual di Tenggilis Mejoyo,Rp 550Jt,"RW 03, Tenggilis Mejoyo, Tenggilis Mejoyo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-e0ce1d5e39c7-c50b-19e20d8-97ef-7a72
Apartemen Dijual di Karawangpawitan,Rp 750Jt,"Sukamulya, Karawang, Jawa Barat",https://www.lamudi.co.id/jual/jawa-barat/karawang/apartemen-studio-di-azalea-suites-cikarang-bekasi-173384284612/
Apartemen Dijual di Kelapa Dua,"Rp 1,70M","Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-aacf92c29c44-f671-19f12e4-bf68-7746
Apartemen Dijual di Pantai Indah Kapuk 2,Rp 325Jt,"Muara, Pantai Indah Kapuk 2, Muara, Teluknaga, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-52855dd7585-67f3-19a39c6-bef4-778f
Apartemen Dijual di Sunter,Rp 500Jt,"RW 04, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f1bb5bf231fe-abbe-19e4e7e-9bc5-7535
Apartemen Dijual di Darmo Permai,Rp 150Jt,"RW 01, Darmo, Wonokromo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-387c43787f66-6a24-c568984f-a17c-40ba
Apartemen Dijual di Karet,"Rp 1,50M","RW 04, Karet, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-389056c46c5a-7670-19eda0f-8f77-7597
Apartemen Dijual di Tulangan,Rp 585Jt,"Modong, Tulangan, Sidoarjo, Jawa Timur",https://www.lamudi.co.id/jual/jawa-timur/sidoarjo/dijual-apartement-amor-diatas-pakuwon-city-mall-174074212115/
Apartemen Dijual di Menteng,Rp 11M,"RW 05, Menteng, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-7d732bdc9191-bec8-199a35e-b3a6-7501
Apartemen Dijual di Mulyorejo,Rp 585Jt,"RW 02, Kejawen Putih Tambak, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/jual/jawa-timur/surabaya/di-jual-apartemen-amor-pakuwon-city-luas-25m2-171376440961/
Apartemen Dijual di Bekasi Timur,"Rp 3,20Jt","Kp Belter, Villa Taman Kartini, Rawasemut, Margahayu, Bekasi, Jawa Barat",https://www.lamudi.co.id/jual/jawa-barat/bekasi/sewa-apartemen-lagoon-resot-bekasi-timur-full-furn-175634504240/
Apartemen Dijual di Bumi Serpong Damai,Rp 345Jt,"Babakan, BSD City, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-8ba839bb1440-d06a-19a4586-aea2-7595
Apartemen Dijual di Pisangan Timur,Rp 570Jt,"RW 07, Pisangan Timur, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/jual-cepat-apartemen-oak-tower-a-terdepan-lt-42-lt-175734134792/
Apartemen Dijual di Kalirungkut,Rp 265Jt,"RW 04, Kali Rungkut, Rungkut, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-ed62334162ad-e577-19a8bc0-9139-7292
Apartemen Dijual di Mulyorejo,"Rp 4,30M","RW 09, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-1ee060110802-5af9-19cd5a0-83cd-7641
Kondominium Dijual di Penjaringan,Rp 550JtProperti sitaan,"RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-cepat-apartemen-green-bay-pluit-jakarta-uta-175324030446/
Apartemen Dijual di Alam Sutera,"Rp 4,50M","Alam Sutera, Pinang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-ea531c437d31-ada9-19c6ade-94e5-71d6
Apartemen Dijual di Kembangan,"Rp 1,50M","RW 02, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9bf90b4d776b-7080-19edf5e-b852-7715
Apartemen Dijual di Cakung,Rp 975Jt,"Jakarta Garden City, Cakung Timur, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-75ebaf4c3673-d101-19ca2cf-98cc-7355
Apartemen Dijual di Grogol Petamburan,"Rp 3,20M","RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-7c771ddc12e2-c485-19c8b1d-9694-735c
Apartemen Dijual di Cakung,Rp 1M,"Jakarta Garden City, Cakung Timur, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ae201ada895f-374a-19ca2c5-b4c5-7421
Apartemen Dijual di Grogol Petamburan,"Rp 2,65M","RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-675b99976351-23bb-19a7697-8c39-72ab
Apartemen Dijual di Kebagusan,Rp 420Jt,"RW 03, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-2e64f6202412-b851-19e01cb-976f-74b3
Apartemen Dijual di Cikarang Selatan,Rp 420Jt,"Meikarta, Cibatu, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-c069e0b2d041-1147-19f1c4d-a776-73f7
Apartemen Dijual di Depok,Rp 850Jt,"Sukatani, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-66cd0acc0012-c2f-19d467f-8360-7540
Apartemen Dijual di Panunggangan Utara,Rp 199Jt,"Panunggangan Utara, Pinang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-50f219d5ce9b-ab25-19e1a85-a8dd-7305
Apartemen Dijual di Kebayoran Lama,"Rp 2,20M","RW 02, Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-e6254e763214-ff18-19abdd7-9101-70f1
Apartemen Dijual di Kampung Pelita,Rp 715Jt,"Kampung Pelita, Kampung Pelita, Lubuk Baja, Batam",https://www.lamudi.co.id/properti/41032-73-3b720b056f16-1cd7-19ea8a7-9d07-75a1
Apartemen Dijual di Cempaka Putih,Rp 450Jt,"RW 02, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d594b7a1b663-f0c9-19f11d7-a2f3-7188
Apartemen Dijual di Kebon Jeruk,Rp 4M,"RW 11, Kedoya Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-be7d935d17b4-e037-19ecba3-8550-7a73
